ICN,Δ Accuracy,Δ AUC,Δ Precision,Δ Recall,Δ F1,Δ Val Loss,auc_mean,auc_std,auc_var,auc_min,auc_max,auc_median,accuracy_mean,accuracy_std,accuracy_var,accuracy_min,accuracy_max,accuracy_median,precision_mean,precision_std,precision_var,precision_min,precision_max,precision_median,recall_mean,recall_std,recall_var,recall_min,recall_max,recall_median,f1_mean,f1_std,f1_var,f1_min,f1_max,f1_median,val_loss_mean,val_loss_std,val_loss_var,val_loss_min,val_loss_max,val_loss_median
80,0.01014093959731515,-0.002261376486389483,0.009326752064238593,0.004974991805374186,0.007258059070818385,0.0025354721978521192,0.6788919907448686,0.0019081128508688365,3.6408946516507986e-06,0.6764205386961473,0.6821816780903507,0.6788662465794626,0.6671586879432623,0.0029851312841334045,8.91100878351195e-06,0.6624556737588653,0.6710106382978723,0.6667553191489362,0.6843470140379317,0.0023949512643319064,5.735791558524996e-06,0.6803521999990956,0.687538136485118,0.6833232452336413,0.8461099768685976,0.0034180561336483225,1.1683107732770919e-05,0.8388911216497423,0.8502547580133786,0.8464710879797087,0.7516362943195225,0.002110712571038308,4.455107557539144e-06,0.748473935529145,0.7547866106717073,0.7515407283294646,0.6284266597032547,0.0006372236488000558,4.060539785900569e-07,0.627267849445343,0.6294208228588104,0.6284808397293091
39,0.003449664429529957,-0.0026423701074582404,0.002093867082513693,0.0060017837234047,0.00413121755125032,0.002137408579249758,0.6786327509883103,0.0014130656656281026,1.9967545753769925e-06,0.6761558502372012,0.6807623783327659,0.6783201254837175,0.6627393617021275,0.004297323347541103,1.846698795332187e-05,0.6540336879432624,0.6710549645390069,0.6625443262411348,0.6794429497891639,0.0030411888912640797,9.248829872348043e-06,0.6737687549315458,0.6850364823743036,0.6795529813867849,0.8469744549830758,0.003686374845852232,1.3589359504132069e-05,0.8388911216497423,0.8527547580133786,0.8475653640739849,0.7493029820650039,0.0029433110466541373,8.663079917356273e-06,0.7429729862940169,0.7539024371996238,0.7487801149835591,0.6281771385669709,0.000498120455007738,2.481239876971159e-07,0.6271421015262604,0.6289878726005554,0.6282428294420241
89,0.0036644295302010817,-0.0016566943217842653,0.008474669162469098,0.001991699825287591,0.004527559136476435,0.0020323602229203753,0.6793034350538512,0.002257808801726703,5.09770058515457e-06,0.6737338955087434,0.6817687556818544,0.6797480521286633,0.6628812056737587,0.0024624174500283915,6.063499698204325e-06,0.6582446808510639,0.6667109929078013,0.6624778368794326,0.6837692820117607,0.0017005953561148996,2.8920245652395617e-06,0.6811336813002671,0.686796226800022,0.6834350852850916,0.8435982794344865,0.0038314735615126894,1.4680189652570732e-05,0.8368346372656719,0.8490342192928401,0.8445772937152247,0.7495987401557149,0.0018252005615290003,3.3313570898057783e-06,0.7462217340826914,0.7531267060264786,0.749848379407903,0.6281112903356553,0.0007468866799693178,5.578397127155902e-07,0.6265510201454163,0.6293139636516571,0.6282835185527802
86,0.010510067114093972,-0.0016350958038141574,0.008158615155553576,0.00872823120195255,0.0077558144049370255,0.0020278663688173665,0.6793181313485683,0.0011459986976073441,1.3133130149177288e-06,0.6776822528673992,0.6814857043821514,0.6792261741526449,0.6674024822695036,0.0016697760342112911,2.788152004426387e-06,0.6646276595744681,0.6710549645390071,0.6667553191489362,0.6835549900439069,0.0015915164136014461,2.532924494762809e-06,0.6812724035827279,0.6865385592649524,0.6833379876336533,0.8492699095285301,0.002203490844280211,4.855371900826718e-06,0.8463911216497422,0.853588091346712,0.8494214246800453,0.7520077293966068,0.0009468931335369817,8.966066063394842e-07,0.7508224166072632,0.7539675849145854,0.7518714137745829,0.6281084734201431,0.0006986761198105291,4.881483203934968e-07,0.6269313156604767,0.629506528377533,0.6280980944633483
60,0.020510067114093894,-0.002203526046552817,0.025742576419785935,-0.010428645229454818,0.008747331969104311,0.0019117145985315782,0.6789313539601843,0.001497721480889531,2.2431696343179297e-06,0.6764590633439573,0.681076332562051,0.6790477549425649,0.6740070921985816,0.0025437392754632275,6.470609501534186e-06,0.6688829787234042,0.6773936170212767,0.6742021276595745,0.6954773247700256,0.00236087497650037,5.573730654665623e-06,0.6915856802075842,0.6993923852379735,0.6954602477590281,0.83314132483098,0.0054706569640643205,2.9928087618465447e-05,0.8221826576998991,0.8397244549830756,0.8336949066259411,0.7527476198159209,0.0023470760938513026,5.508766190328289e-06,0.7474987121288277,0.756863328559523,0.7526593986381859,0.6280356651544572,0.0005794925633383888,3.358116309644965e-07,0.627245956659317,0.6293601989746094,0.627974233031273
93,0.014738255033556965,-0.005021685734691294,0.014395144476441272,-0.0005698845114676238,0.007502622014233514,0.0018397682415731869,0.6770137915888093,0.001732160198855378,3.000378954498703e-06,0.6746621807081008,0.6801309255600859,0.6775113936804369,0.6701950354609929,0.0052993573877312085,2.8083188722901336e-05,0.6582890070921986,0.6795212765957447,0.6699911347517731,0.687783501980186,0.004988297857367578,2.488311551381797e-05,0.6762038645624984,0.6975271523864874,0.6876353895496023,0.8414416267002475,0.0032119517986791504,1.031663435703823e-05,0.8358608186194394,0.845625128383749,0.8418414583500791,0.7518187921241923,0.003569389198522496,1.2740539250529064e-05,0.7446079439615436,0.7586326924709278,0.7514095741232311,0.6279905664920806,0.0006247348285883162,3.902936060512728e-07,0.6268532574176788,0.6291176557540894,0.6281362324953079
101,0.014999999999999887,-0.0050079987122596745,0.01988316286866914,-0.005944105756817428,0.0069190725599476074,0.0018314623136027569,0.6770231046590733,0.0014967255549087413,2.2401873867168795e-06,0.6754704783344323,0.6804528947155887,0.6767531334505246,0.6703679078014184,0.005290936187519708,2.799400574040558e-05,0.6625,0.67947695035461,0.6710328014184397,0.6915045060970643,0.004620974885328307,2.135340889083496e-05,0.6842598632227115,0.6993794216119797,0.692201226113266,0.8369169546928168,0.004584797257638554,2.1020365893650006e-05,0.8306335458921665,0.844564522323143,0.8377168792254999,0.7513833357429585,0.003924481030236605,1.5401551356686968e-05,0.7457309753271806,0.7578603697505375,0.7518291900723373,0.6279853600263595,0.0010567995445786142,1.1168252774215663e-06,0.6254451394081115,0.6290182888507843,0.6283785969018936
103,0.006288590604026709,-0.005627734418190242,0.0037355701929345413,0.006550120877360507,0.005281654262775025,0.0016714949903743896,0.6766014174584183,0.0009310599248655936,8.668725836907249e-07,0.6747420303840623,0.6780796986466577,0.6765619546571351,0.6646143617021276,0.0021366029899475975,4.565072336653013e-06,0.6603280141843972,0.6667553191489362,0.664627659574468,0.6805560626827393,0.0024058427098746942,5.788079144657213e-06,0.6756868427456663,0.6844591183751401,0.6809367555910597,0.8474361117809392,0.003087783262725059,9.534405477565009e-06,0.842639815484643,0.8520337548785826,0.8483412261429504,0.7501614611597229,0.0011723319929521992,1.374362301699275e-06,0.7485419879380262,0.7522392782825347,0.7501227532903085,0.6278850865364074,0.0005587236613240459,3.121721297233471e-07,0.6266456484794617,0.6285874664783477,0.627953651547432
38,0.009912751677852228,-0.004615333101360008,0.0020609098395577177,0.021415660062523045,0.010625324783155683,0.0016685872024254779,0.6772902863958512,0.001799926006306818,3.2397336281796113e-06,0.6746754151910581,0.6800576252153496,0.6772731292038413,0.6670079787234042,0.0024053307091502587,5.785615820381286e-06,0.6625443262411348,0.6710549645390071,0.6667996453900709,0.6794206040118804,0.0016425412099944586,2.6979416265300606e-06,0.6772784948110026,0.6824518256093334,0.6794041381705721,0.8599517277103483,0.0028234310838764066,7.971763085399501e-06,0.8554820307406514,0.8638153640739847,0.859648697407318,0.7541490159594418,0.0018052566643668951,3.2589516242410884e-06,0.7510454840565396,0.7568899643591522,0.7543412236495857,0.6278832638263702,0.0005554539224760981,3.085290599940832e-07,0.6270940780639649,0.628779536485672,0.627757528424263
61,0.006369127516778507,0.00036315545007614686,0.00022340364694672783,0.02238746312418377,0.009535505618357257,0.0016211953936048366,0.6806778028494918,0.0015675401503180827,2.457182122859237e-06,0.6777998256967137,0.6827102500763373,0.6811806382123704,0.6646675531914894,0.002506252084957653,6.281299513354582e-06,0.6625443262411348,0.6710106382978724,0.6646719858156029,0.678174732074356,0.0017901054684575557,3.2044775882016447e-06,0.6749908548338961,0.6815626660554751,0.6781328965227644,0.8607699095285302,0.0031353672029276426,9.830527497194309e-06,0.856618394377015,0.8663827041413248,0.8603220980807187,0.7533357709016032,0.0018349462329950985,3.3670276779829026e-06,0.7510856672845574,0.7579014462296423,0.7529434908107562,0.6278535568714141,0.0005762031854707099,3.320101109465933e-07,0.6270060837268829,0.6288744628429412,0.6277655988931656
