Region,Δ Accuracy,Δ AUC,Δ Precision,Δ Recall,Δ F1,Δ Val Loss
80,-0.015630630630630582,-0.0032274922349942435,0.021294556076152278,-0.07323901262474074,-0.05858965402551804,0.02025418841462131
50,-0.08674174174174169,-0.015170795770027248,0.07683103418543429,-0.354962541841202,-0.24818011103780954,0.025208887090075103
84,0.002027027027026848,-0.00646642822998437,0.012719556681567584,0.045799359822788474,0.017724228924281216,0.027922766450355463
18,-0.05003003003002986,-0.0024708843320924235,-0.03537537778645284,-0.17050091452444222,-0.14204896592861077,0.028216111063414435
69,0.012537537537537587,-0.005642286761940403,-0.012155734063393679,0.06311737976271473,-0.002379327610060623,0.028297015338997224
49,-0.035045045045044944,-0.01836396955482505,0.005987848861401406,-0.046361866940414526,-0.04325463612344343,0.02938415360118798
86,-0.0018243243243243137,-0.003331780922610907,0.03826107689730725,-0.026036664756061742,-0.014119183215028372,0.029773741546735864
85,-0.010623123123123048,-0.00948870530316933,0.026044548902785427,-0.032185397901136045,-0.021657695031400272,0.030094095832414004
94,-0.026996996996996946,-0.02091051344267822,0.03626140791127167,-0.12953857377827188,-0.10057462091521215,0.030281470609871984
87,-0.0022747747747744944,-0.0065710604405556814,0.025113809781076323,0.019856497884899346,0.005114319445074386,0.030311586959152766
73,-0.005840840840840698,-0.0004462946250765815,-0.0763754425700591,-0.025869330253198458,-0.057365984798161164,0.030702043009104986
93,-0.003303303303303144,-0.015941311859638922,0.03480885931150685,-0.018889430125907866,-0.022486616082522434,0.033224233376099324
5,0.011831831831831958,-0.011181680522741943,-0.009536455314909743,0.08217215768571279,0.03165696321271144,0.03496210202100195
19,-0.0626276276276276,-0.008035571671172977,-0.042643867539896164,-0.28190612094620254,-0.2062824823663711,0.03507963045884459
83,0.0031006006006007976,-0.007738494230557038,-0.005645809428889325,0.09460123144778813,0.03858954908372884,0.03559834193371366
72,-0.007657657657657587,-0.014112512246370872,-0.08942830793287825,0.016102917016108144,-0.044507195055954255,0.040477838837590735
70,0.012177177177177253,0.003944069752768912,-0.04202570540307364,0.08258208579996322,-0.006687743019372761,0.04071577412005972
81,0.0013138138138137953,-0.013156938431708754,-0.010865670393717091,0.04859865519549502,0.013899673315551106,0.04150326276848294
95,-0.038190690690690476,-0.011224552281395805,0.07747925317508682,-0.20183648387828657,-0.1651313305647973,0.041504940424795175
36,-0.01592342342342334,-0.0062055843227234045,-0.005742613659206773,0.05286966179735196,0.010283722892756341,0.04192502403797055
88,0.008828828828828997,-0.007442088673519853,-0.003083543597012427,0.10878167053131453,0.04286979121561967,0.04376927917464517
17,-0.03203453453453437,-0.006488598869923958,-0.012744070904621752,-0.04172292242937605,-0.06399165272351404,0.044636401764053237
59,-0.11083333333333314,-0.015227747639696362,0.06814507426798984,-0.46241784382351014,-0.3535855644823546,0.047211887631655465
55,-0.10792792792792782,-0.011907693529911256,-0.029913824191588344,-0.39184607124892606,-0.2719215920240435,0.0474938212965944
54,-0.10397897897897883,-0.015525885382640641,-0.060849993839670706,-0.38937476753016975,-0.2716302539532028,0.047930831672776085
71,0.0038363363363365004,-0.0030290960956658925,-0.028714425099933685,0.07220551144507541,-0.015310861510697564,0.04910591069317125
4,-0.006546546546546514,-0.018369822853179823,-0.03434259255710005,0.07151785533293453,0.007109367790528485,0.05014692910562816
103,0.03374624624624656,-0.004628550495646012,-0.009119337017615825,0.16224425288111058,0.07960683484618072,0.050473481470065085
37,-0.029969969969969833,-0.017925444018127006,-0.014736603276976571,0.03867468945600049,-0.0022431677393499336,0.050715152232092775
35,0.009241741741741867,0.003166065462375854,-0.0057781889639155395,0.14411648870833896,0.05721318593924678,0.051237183378936436
51,-0.12462462462462456,-0.012910915763646372,0.03818593930519157,-0.48130736486646203,-0.35604457893112257,0.05364644804346413
92,-0.026719219219219225,-0.01948773332344119,-0.01916349448463473,0.047201617165030116,-0.00022965737201079503,0.05373942686212703
82,0.02686936936936941,-0.0014177085279153722,-0.0019278666817000372,0.14842602056570475,0.06883256439306128,0.05574927270180517
39,0.008843843843844035,-0.010615843472972319,-0.00199283042952786,0.11018688772842851,0.0435150605429213,0.05592600110794506
38,-0.01631381381381375,-0.0031145612558518337,-0.013763419295385318,0.0875254609814015,0.020850612298000133,0.05713622011210211
53,-0.11597597597597582,-0.019351212179956983,-0.029456970610688943,-0.4636923896575196,-0.3303487195611358,0.05815810882994546
33,-0.001996996996996961,-0.0019221886418474908,-0.004035720717865665,0.11668947674278062,0.03809594056949753,0.05858891773302112
56,-0.13785285285285273,-0.009787352007613572,-0.0019727095704299993,-0.47311178264011094,-0.3344946527110057,0.059790173113693945
34,0.005330330330330368,-0.008760595941429281,-0.0058991963264785965,0.14014377419277302,0.05231773795852341,0.06305054244119893
0,0.03368618618618641,-0.004106641318612802,-0.03386617954173572,0.21643431974285154,0.08343659345516975,0.06523343806278126
48,-0.019902402402402226,-0.017296308368037066,-0.02583985074073133,0.11356541558753183,0.035351653412859285,0.06775346283599215
